nbNodesNumber of Nodes =	3421
voxel size (µm)	5

all volumes, lenghts and surfaces are reported as voxels

Node ID	Location Node(x,y,z)(µm))	Node Type	Node Volume	Node Dmax	Nodes radius
278	578,9,75	border_cell	21879	23.3377	3.96471
279	761,477,64	cell	2364	10.6524	2.41421
280	361,500,72	cell	30413	29.5301	12.8815
281	1219,52,68	cell	56434	29.7417	12.6632
282	597,791,95	border_cell	1.56294e+06	70.0743	16.3198
283	417,823,73	cell	9547	13.6709	5.51677
284	509,623,63	cell	245130	40.6309	12.322
285	1024,216,72	cell	2	16.2299	7.88542
286	413,566,66	cell	594	12.1679	3.12088
287	147,627,73	cell	378	8.44382	3.97316
288	464,822,74	cell	11065	20.3451	9.6061
289	1076,890,82	cell	55962	28.2501	6.98667
290	800,261,73	cell	13702	18.3924	7.93408
291	821,267,77	cell	5669	14.8401	5.28583
292	1139,906,64	cell	74702	30.6367	10.274
293	996,904,74	cell	1	8.08243	4.04122
294	83,312,75	cell	617	8.66306	2.41419
295	425,325,83	cell	7777	13.3406	4
296	1004,514,73	cell	11721	20.999	6.93656
297	1116,561,78	cell	1353	12.2574	5.3069
298	136,576,76	cell	1224	8.26286	2.99969
299	823,298,80	cell	9956	16.8078	6.24979
300	104,404,83	cell	14901	18.3068	4.71092
301	1049,481,78	cell	1352	8.98483	3.83947
302	641,580,65	cell	32754	32.7443	11.0866
303	145,624,77	cell	618	9.42908	3.3839
304	841,288,81	cell	16662	19.3382	7.57348
305	143,616,79	cell	3	8.91485	4.05579
306	1088,27,79	cell	1688	11.337	3.86175
307	208,439,84	cell	3959	12.8918	5.5261
308	399,546,79	cell	22284	18.2526	6.66761
309	254,192,89	cell	17179	16.8468	6.75365
310	115,302,81	cell	681	10.0139	4.11939
311	244,810,76	cell	1608	10.4937	3.02054
312	575,156,81	cell	1281	12.305	5.69641
313	133,581,82	cell	281	8.22004	3.65448
314	904,845,87	cell	212418	47.66	17.9824
315	434,326,83	cell	1	8.42699	4.2135
316	952,635,86	cell	476304	56.9979	23.9772
317	213,738,87	cell	1458	9.3813	4.34271
318	223,253,93	cell	41791	32.9498	12.4059
319	126,567,84	cell	7749	10.2776	4.40984
320	985,808,84	cell	1024	12.929	4.22544
321	1164,480,91	cell	2980	8.95531	2.80225
322	1119,892,91	cell	30758	30.4039	11.4225
323	1016,899,86	cell	1207	12.0203	5.75019
324	561,0,86	border_cell	1	14.2331	7.11653
325	557,86,94	cell	18447	16.4366	6.36637
326	141,615,86	cell	1	10.1022	5.05112
327	1151,751,86	cell	1	8.15526	4.07763
328	976,794,82	cell	979	12.0327	3.44218
329	730,263,88	cell	3627	14.8928	6.82247
330	90,310,80	cell	1016	10.505	3.99997
331	96,423,87	cell	8701	19.6796	8.41543
332	1011,535,87	cell	39569	27.3072	11.3384
333	977,808,90	cell	8292	14.2803	3.44223
334	1026,250,90	cell	4387	13.5016	6.19221
335	998,896,87	cell	10239	14.7118	4.64818
336	361,494,100	cell	71591	35.5293	9.559
337	864,674,96	cell	6649	12.9319	4.55846
338	7,683,102	border_cell	8350	17.8625	7.32492
339	829,323,95	cell	8339	14.3238	6.02463
340	741,808,90	cell	26382	22.4347	10.6718
341	319,951,91	border_cell	190522	45.2312	19.253
342	606,293,92	cell	1562	10.3536	4.46485
343	125,584,92	cell	1	8.02347	4.01173
344	1145,766,92	cell	1	10.0494	5.0247
345	1041,216,85	cell	57686	25.5947	3.25244
346	838,317,93	cell	1	12.0264	6.0132
347	140,613,85	cell	3699	12.6913	4.47726
348	300,898,92	cell	665	10.2462	4.72296
349	105,304,89	cell	3443	12.7466	5.22004
350	1145,759,89	cell	4303	12.0641	4.07238
351	770,803,90	cell	10103	18.1785	7.1077
352	113,6,93	cell	691	8.10793	3.19885
353	556,52,93	cell	1727	9.27781	2.3105
354	1188,67,96	cell	72516	34.6277	16.5089
355	20,698,98	cell	4043	14.6062	6.16649
356	825,735,94	cell	1372	8.12525	2.90092
357	1044,237,98	cell	4139	16.787	5.62093
358	32,444,95	border_cell	693448	87.2906	15.2036
359	322,471,103	cell	75535	33.4944	12.7163
360	571,147,105	cell	18012	14.2034	4.87221
361	1041,250,98	cell	4335	14.1878	6.55083
362	128,597,97	cell	1	12.2955	6.14774
363	1257,73,102	cell	2219	8.4292	1
364	1047,265,102	cell	2565	9.70691	3.44223
365	732,343,126	cell	395566	59.2608	18.4797
366	1171,509,96	cell	678	10.0731	2.98452
367	275,839,101	cell	105384	29.7523	11.0473
368	526,854,99	cell	1	14.1032	7.05162
369	609,298,99	cell	1458	12.1315	4.04804
370	128,606,101	cell	10978	15.2834	6.25661
371	1143,783,102	cell	8171	12.2216	5.62558
372	331,859,107	cell	8193	13.7998	5.3714
373	286,885,101	cell	1	12.044	6.02201
374	1083,40,96	cell	15947	20.6089	4.8979
375	1095,67,104	cell	920	10.3834	4.47568
376	672,644,102	cell	1	10.4109	5.20547
377	781,664,103	cell	1854	8.57374	2.28446
378	853,668,102	cell	1	10.1712	5.0856
379	410,766,103	cell	1154	8.9682	3.22552
380	399,768,102	cell	1080	8.29539	2.91332
381	1055,631,117	cell	727551	63.5908	23.7207
382	666,643,103	cell	3978	11.7121	5
383	1011,659,99	cell	258183	62.3145	25.8296
384	566,122,104	cell	1	8.08395	4.04198
385	1168,503,103	cell	219	8.5308	2.84457
386	70,509,104	cell	1147	8.53399	3.63081
387	22,759,102	cell	810	8.21062	2
388	198,921,104	cell	1	10.2573	5.12863
389	1142,893,114	cell	34590	31.655	14.918
390	598,35,114	cell	13569	15.3752	6.94075
391	1090,61,106	cell	2366	13.056	5.53267
392	1101,893,115	cell	21067	23.2212	7.58169
393	207,924,109	cell	6387	12.8692	5.35385
394	626,221,108	cell	1	8.1995	4.09975
395	1176,525,104	cell	778	14.4941	4.87303
396	1030,538,114	cell	11618	19.34	9.18456
397	1127,783,108	cell	1570	10.1599	4.45508
398	512,840,109	cell	1423	8.46426	3.78638
399	1060,12,112	cell	1387	9.17711	3.95784
400	595,68,110	cell	1	8.24122	4.12061
401	88,306,123	cell	56539	24.9237	8.57481
402	629,579,103	cell	249742	42.069	16.2484
403	126,625,110	cell	3157	16.0303	6.63716
404	546,698,124	cell	442613	55.6122	16.3949
405	996,825,115	cell	4748	9.66761	2.93948
406	622,218,110	cell	2110	10.0577	4.66991
407	472,287,109	cell	750	8.35528	3.26271
408	842,343,118	cell	18841	18.6307	7.18653
409	1071,112,120	cell	24101	21.5567	10.3025
410	704,542,114	cell	81863	35.526	15.129
411	427,928,123	cell	4499	8.07941	3.25337
412	33,85,111	cell	1577	10.2274	2.38382
413	264,311,118	cell	32829	33.1095	13.3042
414	1166,499,109	cell	468	8.59774	2.54511
415	570,616,123	cell	334784	51.5834	21.9307
416	1077,716,112	cell	2117	10.2218	4.49713
417	300,804,111	cell	6786	17.0267	5.04436
418	1002,819,113	cell	1	8.01815	4.00908
419	35,191,109	cell	151	8.1124	1.9161
420	265,191,112	cell	1256	12.1879	5.33309
421	593,68,113	cell	1576	10.4294	3.25179
422	1170,510,106	cell	1110	10.3551	4.37036
423	763,524,115	cell	314212	50.043	19.6874
424	1142,800,115	cell	1	8.06007	4.03004
